"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v3_Female_q9",1492,80,769,0,649,8,167,1035,11,581,327,144,366,210,156,114,8,41,0,1260,164,19,0,223,0,21,0,11,7,0,16,8,191,7,136,105,0,0,104,0,7
"v4_Female_q9",1517,85,837,0,648,16,181,1154,17,547,327,169,356,231,154,128,6,39,0,1245,174,12,0,219,0,18,0,17,8,0,12,6,234,6,101,178,0,0,65,0,0
"v3_Female_q10",1278,63,624,0,529,22,154,911,12,481,240,137,272,164,126,110,0,29,0,1050,114,15,0,182,0,17,0,19,8,0,11,6,135,8,126,77,0,0,90,0,9
"v4_Female_q10",1284,75,669,0,578,16,151,956,12,511,251,154,286,190,130,110,0,32,0,1102,138,24,0,243,0,11,0,14,8,0,15,9,242,8,110,165,0,0,88,0,0
"v3_Female_q11",1045,54,524,0,434,10,115,695,14,367,186,116,216,137,81,74,0,19,0,971,99,16,0,146,0,18,0,13,0,0,11,0,98,0,93,63,0,0,84,0,0
"v4_Female_q11",1105,51,518,0,477,8,135,882,0,437,199,131,225,195,120,86,5,27,0,1056,116,35,0,236,0,15,0,12,9,0,15,0,233,9,126,160,0,0,99,0,6
"v3_Female_q12",989,47,438,0,414,5,121,622,7,375,176,95,212,115,107,68,0,21,0,971,94,5,0,161,0,10,0,15,6,0,14,0,75,6,83,49,0,0,74,0,5
"v4_Female_q12",1197,58,569,0,476,7,156,789,13,476,240,131,232,163,102,98,0,26,0,1122,134,28,0,254,0,17,0,16,7,0,21,7,244,13,136,145,0,0,133,0,0
"v3_Female_q13",574,25,236,0,231,0,62,302,0,210,95,63,112,61,59,45,0,9,0,553,62,0,0,74,0,6,0,0,0,0,5,0,24,0,56,29,0,0,31,0,0
"v4_Female_q13",820,43,420,0,352,0,109,523,9,332,172,127,171,150,84,61,0,18,0,844,90,22,0,191,0,13,0,13,0,0,12,0,123,7,97,90,0,0,84,0,11
"v3_Female_q14",622,27,271,0,275,8,99,348,6,235,119,57,117,85,57,54,0,14,0,681,78,0,0,60,0,7,0,10,0,0,5,0,27,0,55,29,0,0,33,0,0
"v4_Female_q14",688,38,321,0,285,0,83,465,7,271,153,72,124,131,58,55,0,13,0,773,78,14,0,121,0,15,0,15,0,0,9,6,80,0,112,46,0,0,71,0,11
